Adarsh Park Heights Phase 1 | Adarsh Developers | PRM/KA/RERA/1251/446/PR | Gunjur, Varthur Road | Active
Godrej Vanantara | Godrej Properties | PRM/KA/RERA/1251/310/PR | Hommadevanahalli, Begur Hobli | New launch
Lodha Haven | Lodha | PRM/KA/RERA/1251/308/PR | Hosa Road | Active
Lodha Mirabelle | Lodha | PRM/KA/RERA/1251/309/PR | Manyata Business Park, Nagavara | Active
Nambiar District 25 Phase 1 | Nambiar Builders | PRM/KA/RERA/1251/308/PR | Chandapura-Dommasandra Road | Active
Nambiar District 25 Phase 2 | Nambiar Builders | PRM/KA/RERA/1251/308/PR | Chandapura-Dommasandra Road | Active
Nambiar District 25 Phase 3 | Nambiar Builders | PRM/KA/RERA/1251/308/PR | Chandapura-Dommasandra Road | New launch
Northern Lights Phase 1 | Puravankara KVN | PRM/KA/RERA/1251/309/PR | Bagalur Village, Yelahanka Taluk | New launch
Northern Lights Phase 2 | Puravankara KVN | PRM/KA/RERA/1251/309/PR | KIADB Aerospace Park, Bagalur | Active
Northern Lights Phase 3 | Puravankara KVN | PRM/KA/RERA/1251/309/PR | KIADB Aerospace Park, Bagalur | Active
Prestige Park Ridge | Prestige Group | PRM/KA/RERA/1251/308/PR | Bannerghatta Road, Anekal | Active
Sobha Altair | Sobha Limited | PRM/KA/RERA/1251/446/PR | Hadosiddapura, Sarjapur Main Road | New launch
Sobha Ayana | Sobha Limited | PRM/KA/RERA/1251/446/PR | Panathur Main Road | Active
Sumadhura Capitol Residences | Sumadhura Group | PRM/KA/RERA/1251/446/PR | Hope Farm, Whitefield | Active
Sumadhura Epitome | Sumadhura Group | PRM/KA/RERA/1251/446/PR | Rachenalli | Active
Sumadhura Hive | Sumadhura Group | PRM/KA/RERA/1251/446/PR | Hoodi, Whitefield | Active
Sumadhura Solea | Sumadhura Group | PRM/KA/RERA/1251/446/PR | Thanisandra | New launch
Sumadhura Thrive | Sumadhura Group | PRM/KA/RERA/1251/446/PR | Hoodi, Whitefield | Active
Tata New Haven Phase 5 | Tata Housing | PRM/KA/RERA/1251/309/PR | Tumkur Road | Active
Prestige Waterford | Prestige Group | PRM/KA/RERA/1251/446/PR/200811/003528 | Whitefield | Active
Prestige Song of the South | Prestige Group | PRM/KA/RERA/1251/310/PR/170915/000243 | Begur | Active
Brigade Cornerstone Utopia | Brigade Group | PRM/KA/RERA/1251/446/PR/181219/002219 | Varthur Road | Active
Godrej Ananda | Godrej Properties | PR/210331/004084 | Bagalur Road | Active
Assetz 63 Degree East | Assetz Property Group | PRM/KA/RERA/1251/446/PR/171030/000980 | Sarjapur Road | Active
Casagrand Casablanca | Casagrand | PRM/KA/RERA/1251/310/PR/040524/006862 | Kanakapura Road | Active
Sobha Sentosa | Sobha Limited | PRM/KA/RERA/1251/446/PR/201001/003625 | Panathur | Active
LGCL Luxuriate |  | PR/KN/170731/000312 | HSR Layout | —
Mittal Elanza |  | PR/KN/170731/000683 | Yelahanka | —
Mahaveer Willet |  | PR/KN/170731/000828 | Whitefield | —
Umiya Woods |  | PR/KN/170731/000830 | Whitefield | —
Saiven Siesta |  | PR/KN/170731/000559 | Sarjapur Road | —
Arna Meadows |  | PR/KN/170801/000826 | Bannerghatta Main Road | —
Classique Temple Tree |  | PR/KN/170731/000809 | Yelahanka | —
Vaishno Signature |  | PR/KN/170731/000820 | Krishnarajapura | —
Radiant Royal Woods |  | PR/KN/170731/000802 | Whitefield | —
Here and Now |  | PR/KN/170731/000797 | Rachenahalli | —
Trendsquare Precioso |  | PR/KN/170731/000829 | Kalkere | —
Fortuna Acacia |  | PR/KN/170731/000834 | Sahakar Nagar | —
Shravanee Sumo |  | PR/KN/170731/000839 | Jayanagar 8th Block | —
Parthu Pride |  | PR/KN/170731/000842 | Whitefield | —
Legacy Eldora |  | PR/KN/170731/000833 | Kogilu | —
Century Sports Village |  | PR/KN/170731/000844 | IVC Road | —
Aswani Aaeesha B Wing |  | PR/KN/170731/000859 | Electronic City Phase II | —
Calvin Royal Residency |  | PR/KN/170731/000853 | Gottigere | —
Godrej United |  | PR/KN/170729/000003 | Whitefield Main Road | —
DSR White Waters Phase - II |  | PR/KN/170731/000841 | Gunjur | —
Mirabilis |  | PR/KN/170731/000838 | Horamavu | —
Roshan Platinum Apartment |  | PR/KN/170731/000847 | Bannerghatta Main Road | —
Legacy Cataleya |  | PR/KN/170731/000867 | Cunningham Road | —
Godrej Air |  | PR/KN/170725/000006 | Whitefield | —
Vajram Tiara |  | PR/KN/170729/000144 | Yelahanka Main Road | —
Polaris |  | PR/KN/170729/000268 | Hennur Road | —
VBHC Palmhaven 2 |  | PR/KN/170731/000192 | Kengeri | —
SAF Snowdrops Annex Block D |  | PR/KN/170803/001028 | Kanakapura Road | —
Arvind Sporcia |  | PR/KN/170731/000768 | Off Hebbal Ring Road | —
Radiant Elitaire |  | PR/KN/170731/000773 | J P Nagar 8th Phase | —
Commune |  | PR/KN/170731/000813 | Chandapura | —
Sowparnika Columns |  | PR/KN/170731/000764 | Whitefield | —
Fortuna Bluewings |  | PR/KN/170731/000772 | Basavanagar | —
Sky Asta |  | PR/KN/170728/000051 | Kanakapura Road | —
Arvind Skylands |  | PR/KN/170731/000771 | Jakkur 80 Feet Road | —
Janajeeva Orchid |  | PR/KN/170731/000891 | K R Puram | —
Aryav Crosswinds |  | PR/KN/170803/000792 | Horamavu | —
Lapalazzo Residences |  | PR/KN/170730/000301 | Sarjapur Road | —
Klassik Landmark Apartments - Phase II |  | PR/KN/170731/000760 | Sarjapur Road | —
August Grand |  | PR/KN/170730/000242 | Sarjapur Main Road | —
Skylark Richmond |  | PR/KN/170731/000765 | Richmond Town | —
Century Renata |  | PR/KN/170731/000782 | Richmond Road | —
Ravoos Nandan |  | PR/KN/170731/000786 | Krishnarajapura | —
Surataru |  | PR/KN/170731/000787 | Kanakapura Road | —
Vista 450 |  | PR/KN/170801/000794 | Sadashivanagar | —
Aswani Aaeesha A Wing |  | PR/KN/170731/000819 | Electronic City Phase II | —
Chartered Hummingbird |  | PR/KN/170726/000049 | Kanakapura Road | —
77 Sky |  | PR/KN/170731/000775 | HAL | —
Ozone Elegant Promenade |  | PR/KN/170731/000781 | Whitefield | —
Elements of Nature |  | PR/KN/170731/000804 | Varthur | —
R J Lake Gardenia |  | PR/KN/170731/000798 | K R Puram | —
Skylark Royaume |  | PR/KN/170728/000047 | Electronic City | —
Unicon North Brooks 46 |  | PR/KN/170728/000068 | Yelahanka New Town | —
Mahendra Aarna |  | PR/KN/170728/000061 | Electronic City Phase II | —
Hi Life Rio |  | PR/KN/170801/000956 | Sarjapur Road | —
Prestige Kew Gardens |  | PR/KN/170726/000058 | Yemalur | —
Bhuvana Nivaath |  | PR/KN/170802/000954 | Whitefield | —
Prestige Boulevard |  | PR/KN/170726/000057 | Whitefield | —
DSR Lotus Towers |  | PR/KN/170731/000639 | Krishnarajapura | —
Casa Grande Luxus |  | PR/KN/170801/000970 | K R Puram | —
Assetz Marq |  | PR/KN/170801/000973 | Whitefield | —
Salarpuria Sattva Park Cubix |  | PR/KN/170901/001749 | Devanahalli Village | —
Griha Unnathi |  | PR/KN/170731/000273 | Hanumanthappa Layout | —
VDB Azure |  | PR/KN/170729/000069 | Gunjur Palya | —
Sobha Silicon Oasis Phase 2 Wing 7 |  | PR/KN/170728/000120 | Electronic City | —
Casa Grande Neona |  | PR/KN/170801/000978 | Sarjapur Road | —
Chartered Veda |  | PR/KN/170728/000076 | Nelamangala | —
Unicca Emporis |  | PR/KN/170802/001020 | Varthur | —
Manikchand 117FF |  | PR/KN/170729/000063 | Jayanagar 7th Block | —
Vmaks Laurel |  | PR/KN/170731/000889 | Sarjapur Main Road | —
Sobha Dream Acres - Palm Springs Phase 12 Wing 48 and 49 |  | PR/KN/170728/000168 | Panathur Main Road | —
Solaris |  | PR/KN/170731/000883 | Bannerghatta Main Road | —
Sobha Palm Court |  | PR/KN/170729/000164 | Yelahanka | —
Sobha Silicon Oasis Phase 3 Wing 8 |  | PR/KN/170728/000118 | Hosa Road | —
Legacy Salvador |  | PR/KN/170731/000877 | Yelahanka | —
Legacy Madelia |  | PR/KN/170731/000882 | Cunningham Road | —
Sobha Indraprastha |  | PR/KN/170729/000234 | Rajajinagar | —
Adarsh Premia - Phase 1 |  | PR/KN/170728/000155 | Banashankari II Stage | —
Peninsula Heights |  | PR/KN/170727/000072 | J P Nagar 2nd Phase | —
Skyview |  | PR/KN/170727/000071 | Devanahalli | —
Aswani Sunshine |  | PR/KN/170731/000896 | Sarjapur | —
Sobha Silicon Oasis Phase 4 Wing 9 |  | PR/KN/170728/000119 | Hosa Road | —
SK Daisy |  | PR/KN/170804/000905 | Electronic City | —
Rohan Akriti Building 1 |  | PR/KN/170731/000903 | Kanakapura Road | —
Shravanee Dwaraka |  | PR/KN/170803/000907 | Jayanagar 8th Block | —
Rohan Iksha Block A |  | PR/KN/170731/000887 | Bhoganhalli | —
Prestige Spencer Heights |  | PR/KN/170727/000082 | Frazer Town | —
Milestone Grand |  | PR/KN/170801/000895 | Milestone Palms Layout | —
Sobha Avenue |  | PR/KN/170730/000231 | Kannamangala Junction | —
Purva Palmbeach |  | PR/KN/170729/000091 | Off Hennur Road | —
Sobha Dream Acres - Rain Forest Phase 3 Wing 5 and 6 |  | PR/KN/170729/000221 | Panathur Main Road | —
Subha Essence |  | PR/KN/170801/000915 | Chandapura | —
Esteem Emblem |  | PR/KN/170801/000912 | Electronic City | —
Malhar Patterns |  | PR/KN/170729/000101 | Kengeri | —
J S Carnation |  | PR/KN/170831/001679 | Kalkere | —
Prestige Falcon City |  | PR/KN/170728/000114 | Kanakapura Road | —
Golden Panorama |  | PR/KN/170731/000186 | Kanakapura Road | —
Sobha 25 Richmond |  | PR/KN/170730/000257 | Richmond Road | —
CK Adiithya |  | PR/KN/170803/001055 | Bannerghatta Main Road | —
Brigade Panorama |  | PR/KN/170728/000125 | Mysore Road | —
The County Address |  | PR/KN/170731/000124 | Sarjapur Road | —
MVS Paradise |  | PR/KN/170802/001037 | Whitefield | —
Classique Ebony |  | PR/KN/170731/000523 | Yelahanka | —
Radiant Spencer Annex |  | PR/KN/170731/000263 | Electronic City | —
Sterling Pointe |  | PR/KN/170728/000148 | Hebbal | —
Vaishnavi Ars Gardenia |  | PR/KN/170729/000344 | Jalahalli West | —
Shriram Chirping Woods |  | PR/KN/170804/001085 | Sarjapur Road | —
Vajram Esteva |  | PR/KN/170729/000254 | Marathahalli Sarjapur Outer Ring Road | —
Vajram Elina |  | PR/KN/170729/000285 | Off Thanisandra Main Road | —
Pramuk MM Meridian |  | PR/KN/170729/000128 | Jayanagar 7th Block | —
Sterling Infinia |  | PR/KN/170729/000310 | Sarjapur Road | —
Habitat Iluminar |  | PR/KN/170728/000183 | Mysore Road | —
Prestige Lakeside Habitat |  | PR/KN/170728/000176 | Varthur | —
CoEvolve Northern Star |  | PR/KN/170729/000151 | Thanisandra Main Road | —
Belmont |  | PR/KN/170802/000988 | Nandi Foot Hills | —
Adi's North Lake |  | PR/KN/170802/000993 | Jakkur | —
Hara Vijaya Heights |  | PR/KN/170731/000372 | Banashankari 6th Stage | —
Monarch Aqua - Block A |  | PR/KN/170731/000466 | Old Madras Road | —
Garden Terraces |  | PR/KN/170803/001063 | Basavanagudi | —
Bren Edgewaters |  | PR/KN/170729/000320 | Off Sarjapur Road | —
Prestige Pinewood |  | PR/KN/170728/000109 | Koramangala | —
The Central Regency Address |  | PR/KN/170731/000123 | Off Sarjapur Road | —
Sobha Clovelly |  | PR/KN/170730/000201 | Gowdanapalya | —
Ultima |  | PR/KN/170808/001218 | Rachenahalli | —
Skylark Arcadia |  | PR/KN/170729/000194 | Whitefield | —
Prestige Kenilworth |  | PR/KN/170728/000208 | Cunningham Road | —
Shriram Luxor |  | PR/KN/170802/001017 | Hennur Road | —
Link Ornate |  | PR/KN/170802/001009 | Thanisandra Main Road | —
Godrej Avenues |  | PR/KN/170728/000229 | Yelahanka | —
Janaadhar Shubha II - Cluster 1 |  | PR/KN/170729/000313 | Attibele Hobli | —
SS Carona |  | PR/KN/170802/001038 | Kengeri Satellite Town | —
DF Silverline Queens Terraces |  | PR/KN/170731/000618 | Shivajinagar | —
Dhammanagi Zeus |  | PR/KN/170803/001025 | Vasanthnagar | —
Navya Nisarga |  | PR/KN/170804/001068 | Rammurthynagar | —
Nitesh Melbourne Park |  | PR/KN/170728/000224 | Hennur Road | —
Prestige Gulmohar |  | PR/KN/170728/000216 | Horamavu | —
Sowparnika Swastika Phase II |  | PR/KN/170805/001150 | Sarjapur Road | —
MIMS Residency |  | PR/KN/170805/001149 | Thanisandra Main Road | —
Habitat Eden Heights |  | PR/KN/170729/000258 | Whitefield | —
Peninsula Solitaire |  | PR/KN/170807/001173 | Sarjapur | —
Alpine Vistula |  | PR/KN/170731/000211 | Whitefield | —
Century Ethos |  | PR/KN/170729/000283 | Sahakar Nagar | —
NR Windgates |  | PR/KN/170729/000322 | Thanisandra Main Road | —
Umiya Velociti |  | PR/KN/170831/001912 | Hebbal | —
G Corp Residences |  | PR/KN/170729/000249 | Koramangala | —
The Wisdom Tree Community |  | PR/KN/170729/000251 | Hennur Road | —
Sansidh Galaxy |  | PR/KN/170730/000315 | Rachenahalli | —
Prestige Song of the South Phase I |  | PR/KN/170729/000243 | Begur Road | —
Purva Westend |  | PR/KN/170729/000236 | Begur Road | —
Signature Classic |  | PR/KN/170804/000239 | Sarjapur Road | —
Sipani Jardin |  | PR/KN/170805/001129 | Electronic City | —
Alanoville |  | PR/KN/170729/000294 | Hennur Road | —
DNR Reflection |  | PR/KN/170729/000279 | Bellandur | —
Vista Vera |  | PR/KN/170807/001174 | Malleshwaram | —
Jain Heights Grand West Phase I |  | PR/KN/170728/000219 | Yeshwanthpur | —
Prestige Westwoods |  | PR/KN/170729/000248 | Magadi Road | —
Godrej Eternity |  | PR/KN/170729/000233 | Off Kanakapura Main Road | —
Master Classic Residency |  | PR/KN/170729/000350 | Yelahanka | —
SMR Vinay Estella |  | PR/KN/170805/001130 | Yelahanka | —
Purva Coronation Square |  | PR/KN/170729/000235 | J P Nagar 7th Phase | —
LTCEL Raintree Boulevard CL1 |  | PR/KN/170731/000245 | Bellary Road | —
Opulent Spire |  | PR/KN/170731/000561 | Jayanagar 9th Block | —
Ozone Urbana |  | PR/KN/170730/000287 | Devanahalli | —
Shravanee Vista Gardenia |  | PR/KN/170831/001888 | Basavanagudi | —
Gitanjali Aristocracy |  | PR/KN/170808/001194 | Whitefield | —
Silver Domicile |  | PR/KN/170831/001918 | Rachenahalli | —
Bollineni Silas |  | PR/KN/170729/000274 | Whitefield | —
Pride Enchanta Phase I |  | PR/KN/170731/000409 | Mysore Road | —
Provident Skyworth Phase 1 |  | PR/KN/170729/000355 | Mysore Road | —
Sowparnika Sanvi Phase II |  | PR/KN/170805/001139 | Whitefield | —
Prestige Bagamane Temple Bells |  | PR/KN/170729/000281 | Rajarajeshwari Nagar | —
Pioneer Kingstown |  | PR/KN/170731/000266 | Hosur Road | —
GCORP Mahalakshmi |  | PR/KN/170729/000316 | Sahakar Nagar | —
Mana Tropicale |  | PR/KN/170731/000317 | Off Sarjapur Road | —
R F Twilight |  | PR/KN/170831/001924 | Kengeri | —
VRR Fortuna |  | PR/KN/170802/000931 | Sarjapur Road | —
Shriram Summitt |  | PR/KN/170804/001121 | Electronic City | —
Skylark Ithaca |  | PR/KN/170731/000308 | K R Puram | —
